country,total,population,perCapita,continent
Sign Up,2987,38859125,7.687,jcp
Sign Up,67,2810664,2.384,sp
Sign Up,2,97110,2.06,guide
Sign Up,2608,21600180,12.074,side
Sign Up,1291,8079615,15.978,fear
Sign Up,5,348959,1.433,better
Enrollment,5,1214492,0.412,jcp
Enrollment,1902,8910240,21.346,sp
Enrollment,1895,10526149,18.003,guide
Enrollment,17,305888,5.558,side
Enrollment,10513,187458852,5.608,fear
Enrollment,4,373361,1.071,better
Fulfillment,721,6920644,10.418,jcp
Fulfillment,4054,33314836,12.169,sp
Fulfillment,1738,16242244,10.7,guide
Fulfillment,2068,43546298,4.749,side
Fulfillment,311,4347229,7.154,fear
Fulfillment,692,4044457,17.11,better
Start Treatment,1499,10792690,13.889,jcp
Start Treatment,45,813016,5.535,sp
Start Treatment,1577,9936780,15.87,guide
Start Treatment,610,5299698,11.51,side
Start Treatment,676,14054613,4.81,fear
Start Treatment,149,78431389,0.19,better
Keeping The Momentum,484,5657250,8.555,jcp
Keeping The Momentum,218,1243096,17.537,sp
Keeping The Momentum,887,5135433,17.272,guide
Keeping The Momentum,9600,59910069,16.024,side
Keeping The Momentum,19,222674,8.533,fear
Keeping The Momentum,157,4192600,3.745,better
Sign Up,10091,77270988,13.059,jcp
Sign Up,533,10431289,5.11,sp
Sign Up,39,424123,9.195,guide
Sign Up,455,13641878,3.335,side
Sign Up,210,683867,30.708,fear
Sign Up,997,6919200,14.409,better
Enrollment,2092,9433840,22.175,jcp
Enrollment,49,300456,16.309,sp
Enrollment,2442,70575720,3.46,guide
Enrollment,487,4227378,11.52,side
Enrollment,372,7226008,5.148,fear
Enrollment,4290,57503331,7.46,better
Fulfillment,25991,120514000,21.567,jcp
Fulfillment,3512,15215382,23.082,sp
Fulfillment,41,3574090,1.147,guide
Fulfillment,446,5012200,8.898,side
Fulfillment,383,1912464,20.027,fear
Fulfillment,1085,2806627,38.659,better
Start Treatment,40,512689,7.802,jcp
Start Treatment,22,402728,5.463,sp
Start Treatment,27,367843,7.34,guide
Start Treatment,98,1147390,8.541,side
Start Treatment,3,191591,1.566,fear
Start Treatment,5711,111036708,5.143,better
Keeping The Momentum,1856,15899508,11.673,jcp
Keeping The Momentum,513,4129770,12.422,sp
Keeping The Momentum,351,5326935,6.589,guide
Keeping The Momentum,554,4767605,11.62,side
Keeping The Momentum,130,3457387,3.76,fear
Keeping The Momentum,323,5786207,5.582,better
Sign Up,6218,36023694,17.261,jcp
Sign Up,1052,9985074,10.536,sp
Sign Up,241,3471665,6.942,guide
Sign Up,37,2135349,1.733,side
Sign Up,14426,48248224,29.9,fear
Sign Up,576,3363814,17.123,better
Enrollment,93,781254,11.904,jcp
Enrollment,2,37773,5.295,sp
Enrollment,2407,19003345,12.666,guide
Enrollment,28690,134713962,21.297,side
Enrollment,14,164790,8.496,fear
Enrollment,1197,6832840,17.518,better
Fulfillment,9,82541,10.904,jcp
Fulfillment,357,3661456,9.75,sp
Fulfillment,616,5122209,12.026,guide
Fulfillment,446,1948276,22.892,side
Fulfillment,587,48192699,1.218,fear
Fulfillment,3873,44227625,8.757,better
Start Treatment,131,492359,26.607,jcp
Start Treatment,1230,9024081,13.63,sp
Start Treatment,1071,7681318,13.943,guide
Start Treatment,170,1947542,8.729,side
Start Treatment,3961,60766487,6.518,fear
Start Treatment,1810,69880352,2.59,better
Keeping The Momentum,101,4748055,2.127,jcp
Keeping The Momentum,4824,60091793,8.028,sp
Keeping The Momentum,41143,295322862,13.932,guide
Keeping The Momentum,546,3164670,17.253,side
Keeping The Momentum,1950,26838924,7.266,fear
Keeping The Momentum,618,27345912,2.26,better
Sign Up,1,38859125,7.69,jcp
Sign Up,213,21600180,12.07,side
Enrollment,546,1214492,0.41,jcp
Enrollment,615,187458852,5.61,fear
Enrollment,654,373361,1.07,better
Fulfillment,54,16242244,10.70,guide
Fulfillment,65,4044457,17.11,better
Start Treatment,123,813016,5.54,sp
Start Treatment,156,14054613,4.81,fear
Start Treatment,2,78431389,0.19,better
Keeping The Momentum,2,1243096,17.54,sp
Keeping The Momentum,651,5135433,17.27,guide
